timestamp,label,confidence
2026-05-15 23:42:41,OK,1.00
2026-05-15 23:42:41,OK,1.00
2026-05-15 23:42:41,OK,1.00
2026-05-15 23:42:41,OK,1.00
2026-05-15 23:42:41,OK,1.00
2026-05-15 23:42:42,OK,1.00
2026-05-15 23:42:42,OK,1.00
2026-05-15 23:42:42,OK,1.00
2026-05-15 23:42:42,OK,1.00
2026-05-15 23:42:42,OK,1.00
2026-05-15 23:42:42,OK,1.00
2026-05-15 23:42:42,OK,1.00
2026-05-15 23:42:42,OK,1.00
2026-05-15 23:42:43,OK,1.00
2026-05-15 23:42:43,OK,1.00
2026-05-15 23:42:43,OK,1.00
2026-05-15 23:42:43,OK,1.00
2026-05-15 23:42:43,OK,1.00
2026-05-15 23:42:43,OK,1.00
2026-05-15 23:42:43,OK,1.00
2026-05-15 23:42:43,OK,1.00
2026-05-15 23:42:44,OK,1.00
2026-05-15 23:42:44,missing_hole,0.64
2026-05-15 23:42:44,OK,1.00
2026-05-15 23:42:44,OK,1.00
2026-05-15 23:42:44,OK,1.00
2026-05-15 23:42:44,OK,1.00
2026-05-15 23:42:45,OK,1.00
2026-05-15 23:42:45,missing_hole,0.62
2026-05-15 23:42:45,missing_hole,0.64
2026-05-15 23:42:45,OK,1.00
2026-05-15 23:42:45,OK,1.00
2026-05-15 23:42:45,OK,1.00
2026-05-15 23:42:45,OK,1.00
2026-05-15 23:42:46,OK,1.00
2026-05-15 23:42:46,OK,1.00
2026-05-15 23:42:46,OK,1.00
2026-05-15 23:42:46,OK,1.00
2026-05-15 23:42:46,OK,1.00
2026-05-15 23:42:46,OK,1.00
2026-05-15 23:42:46,OK,1.00
2026-05-15 23:42:47,OK,1.00
2026-05-15 23:42:47,OK,1.00
2026-05-15 23:42:47,OK,1.00
2026-05-15 23:42:47,OK,1.00
2026-05-15 23:42:47,OK,1.00
2026-05-15 23:42:47,OK,1.00
2026-05-15 23:42:48,OK,1.00
2026-05-15 23:42:48,OK,1.00
2026-05-15 23:42:48,OK,1.00
2026-05-15 23:42:48,OK,1.00
2026-05-15 23:42:48,OK,1.00
2026-05-15 23:42:48,OK,1.00
2026-05-15 23:42:49,OK,1.00
2026-05-15 23:42:49,OK,1.00
2026-05-15 23:42:49,OK,1.00
2026-05-15 23:42:49,OK,1.00
2026-05-15 23:42:49,OK,1.00
2026-05-15 23:42:49,OK,1.00
2026-05-15 23:42:49,OK,1.00
2026-05-15 23:42:50,OK,1.00
2026-05-15 23:42:50,OK,1.00
2026-05-15 23:42:50,OK,1.00
2026-05-15 23:42:50,OK,1.00
2026-05-15 23:42:50,OK,1.00
2026-05-15 23:42:50,OK,1.00
2026-05-15 23:42:51,OK,1.00
2026-05-15 23:42:51,OK,1.00
2026-05-15 23:42:51,OK,1.00
2026-05-15 23:42:51,OK,1.00
2026-05-15 23:42:51,OK,1.00
2026-05-15 23:42:51,OK,1.00
2026-05-15 23:42:51,missing_hole,0.71
2026-05-15 23:42:51,missing_hole,0.54
2026-05-15 23:42:52,OK,1.00
2026-05-15 23:42:52,OK,1.00
2026-05-15 23:42:52,OK,1.00
2026-05-15 23:42:52,OK,1.00
2026-05-15 23:42:52,OK,1.00
2026-05-15 23:42:52,OK,1.00
2026-05-15 23:42:53,OK,1.00
2026-05-15 23:42:53,OK,1.00
2026-05-15 23:42:53,OK,1.00
2026-05-15 23:42:53,OK,1.00
2026-05-15 23:42:53,OK,1.00
2026-05-15 23:42:53,OK,1.00
2026-05-15 23:42:54,OK,1.00
2026-05-15 23:42:54,OK,1.00
2026-05-15 23:42:54,OK,1.00
2026-05-15 23:42:54,OK,1.00
2026-05-15 23:42:54,OK,1.00
2026-05-15 23:42:54,OK,1.00
2026-05-15 23:42:54,OK,1.00
2026-05-15 23:42:54,OK,1.00
2026-05-15 23:42:55,OK,1.00
2026-05-15 23:42:55,OK,1.00
2026-05-15 23:42:55,OK,1.00
2026-05-15 23:42:55,OK,1.00
2026-05-15 23:42:55,OK,1.00
2026-05-15 23:42:55,OK,1.00
2026-05-15 23:42:56,OK,1.00
2026-05-15 23:42:56,OK,1.00
2026-05-15 23:42:56,OK,1.00
2026-05-15 23:42:56,OK,1.00
2026-05-15 23:42:56,OK,1.00
2026-05-15 23:42:56,OK,1.00
2026-05-15 23:42:57,OK,1.00
2026-05-15 23:42:57,OK,1.00
2026-05-15 23:42:57,OK,1.00
2026-05-15 23:42:57,OK,1.00
2026-05-15 23:42:57,OK,1.00
2026-05-15 23:42:57,OK,1.00
2026-05-15 23:42:57,OK,1.00
2026-05-15 23:42:58,OK,1.00
2026-05-15 23:42:58,OK,1.00
2026-05-15 23:42:58,OK,1.00
2026-05-15 23:42:58,OK,1.00
2026-05-15 23:42:58,OK,1.00
2026-05-15 23:42:58,OK,1.00
2026-05-15 23:42:59,OK,1.00
2026-05-15 23:42:59,OK,1.00
2026-05-15 23:42:59,OK,1.00
2026-05-15 23:42:59,OK,1.00
2026-05-15 23:42:59,OK,1.00
2026-05-15 23:42:59,OK,1.00
2026-05-15 23:42:59,OK,1.00
2026-05-15 23:43:00,OK,1.00
2026-05-15 23:43:00,OK,1.00
2026-05-15 23:43:00,OK,1.00
2026-05-15 23:43:00,OK,1.00
2026-05-15 23:43:00,OK,1.00
2026-05-15 23:43:00,OK,1.00
2026-05-15 23:43:00,OK,1.00
2026-05-15 23:43:01,OK,1.00
2026-05-15 23:43:01,OK,1.00
2026-05-15 23:43:01,OK,1.00
2026-05-15 23:43:01,OK,1.00
2026-05-15 23:43:01,OK,1.00
2026-05-15 23:43:01,OK,1.00
2026-05-15 23:43:01,OK,1.00
2026-05-15 23:43:02,OK,1.00
2026-05-15 23:43:02,OK,1.00
2026-05-15 23:43:02,OK,1.00
2026-05-15 23:43:02,OK,1.00
2026-05-15 23:43:02,OK,1.00
2026-05-15 23:43:02,OK,1.00
2026-05-15 23:43:02,OK,1.00
2026-05-15 23:43:03,OK,1.00
2026-05-15 23:43:03,OK,1.00
2026-05-15 23:43:03,OK,1.00
2026-05-15 23:43:03,OK,1.00
2026-05-15 23:43:03,OK,1.00
2026-05-15 23:43:03,OK,1.00
2026-05-15 23:43:03,OK,1.00
2026-05-15 23:43:04,OK,1.00
2026-05-15 23:43:04,OK,1.00
2026-05-15 23:43:04,OK,1.00
2026-05-15 23:43:04,OK,1.00
2026-05-15 23:43:04,OK,1.00
2026-05-15 23:43:04,OK,1.00
2026-05-15 23:43:04,OK,1.00
2026-05-15 23:43:05,OK,1.00
2026-05-15 23:43:05,OK,1.00
2026-05-15 23:43:05,OK,1.00
2026-05-15 23:43:05,OK,1.00
2026-05-15 23:43:05,OK,1.00
2026-05-15 23:43:05,OK,1.00
2026-05-15 23:43:05,OK,1.00
2026-05-15 23:43:05,OK,1.00
2026-05-15 23:43:06,OK,1.00
2026-05-15 23:43:06,OK,1.00
2026-05-15 23:43:06,OK,1.00
2026-05-15 23:43:06,OK,1.00
2026-05-15 23:43:06,OK,1.00
2026-05-15 23:43:06,OK,1.00
2026-05-15 23:43:06,OK,1.00
2026-05-15 23:43:06,OK,1.00
2026-05-15 23:43:07,OK,1.00
2026-05-15 23:43:07,OK,1.00
2026-05-15 23:43:07,OK,1.00
2026-05-15 23:43:07,OK,1.00
2026-05-15 23:43:07,OK,1.00
2026-05-15 23:43:07,OK,1.00
2026-05-15 23:43:08,OK,1.00
2026-05-15 23:43:08,OK,1.00
2026-05-15 23:43:08,OK,1.00
2026-05-15 23:43:08,OK,1.00
2026-05-15 23:43:08,OK,1.00
2026-05-15 23:43:08,OK,1.00
2026-05-15 23:43:08,OK,1.00
2026-05-15 23:43:09,OK,1.00
2026-05-15 23:43:09,OK,1.00
2026-05-15 23:43:09,OK,1.00
2026-05-15 23:43:09,OK,1.00
2026-05-15 23:43:09,OK,1.00
2026-05-15 23:43:09,OK,1.00
2026-05-15 23:43:09,OK,1.00
2026-05-15 23:43:09,OK,1.00
2026-05-15 23:43:10,OK,1.00
2026-05-15 23:43:10,OK,1.00
2026-05-15 23:43:10,OK,1.00
2026-05-15 23:43:10,OK,1.00
2026-05-15 23:43:10,OK,1.00
2026-05-15 23:43:10,OK,1.00
2026-05-15 23:43:10,OK,1.00
2026-05-15 23:43:11,OK,1.00
2026-05-15 23:43:11,OK,1.00
2026-05-15 23:43:11,OK,1.00
2026-05-15 23:43:11,OK,1.00
2026-05-15 23:43:11,OK,1.00
2026-05-15 23:43:11,OK,1.00
2026-05-15 23:43:11,OK,1.00
2026-05-15 23:43:11,OK,1.00
2026-05-15 23:43:12,OK,1.00
2026-05-15 23:43:12,OK,1.00
2026-05-15 23:43:12,OK,1.00
2026-05-15 23:43:12,OK,1.00
2026-05-15 23:43:12,missing_hole,0.58
2026-05-15 23:43:12,OK,1.00
2026-05-15 23:43:12,OK,1.00
2026-05-15 23:43:13,OK,1.00
2026-05-15 23:43:13,OK,1.00
2026-05-15 23:43:13,OK,1.00
2026-05-15 23:43:13,OK,1.00
2026-05-15 23:43:13,OK,1.00
2026-05-15 23:43:13,OK,1.00
2026-05-15 23:43:13,OK,1.00
2026-05-15 23:43:13,OK,1.00
2026-05-15 23:43:14,OK,1.00
2026-05-15 23:43:14,OK,1.00
2026-05-15 23:43:14,OK,1.00
2026-05-15 23:43:14,OK,1.00
2026-05-15 23:43:14,OK,1.00
2026-05-15 23:43:14,OK,1.00
2026-05-15 23:43:14,OK,1.00
2026-05-15 23:43:14,OK,1.00
2026-05-15 23:43:15,OK,1.00
2026-05-15 23:43:15,OK,1.00
2026-05-15 23:43:15,OK,1.00
2026-05-15 23:43:15,OK,1.00
2026-05-15 23:43:15,OK,1.00
2026-05-15 23:43:15,OK,1.00
2026-05-15 23:43:15,OK,1.00
2026-05-15 23:43:16,OK,1.00
2026-05-15 23:43:16,OK,1.00
2026-05-15 23:43:16,OK,1.00
2026-05-15 23:43:16,OK,1.00
2026-05-15 23:43:16,OK,1.00
2026-05-15 23:43:16,OK,1.00
2026-05-15 23:43:16,OK,1.00
2026-05-15 23:43:16,OK,1.00
2026-05-15 23:43:17,OK,1.00
2026-05-15 23:43:17,OK,1.00
2026-05-15 23:43:17,OK,1.00
